"    ""با همکاری و مشارکت قطب کشوری نجوم پژوهش‌سراهای دانش‌آموزی، ویژه‌برنامه‌های هفته جهانی فضا برای دانش‌آموزان سراسر کشور برگزار می‌شود."",",science
"    ""چند روز پیش یکی از جاه‌طلبانه‌ترین مأموریت‌های فضایی تاریخ، یعنی پولاریس داون (Polaris Dawn)، با موفقیت انجام شد؛ در این مأموریت، فضانوردان برای اولین بار در تاریخ، یک راهپیمایی فضایی خصوصی را به ثبت رساندند."",",science
"    ""با پرتاب هزاران ماهواره کوچک، ایلان ماسک و اسپیس‌ایکس در حال ایجاد یک شبکه جهانی از اینترنت ماهواره‌ای هستند؛ پروژه استارلینک به عنوان یکی از جاه‌طلبانه‌ترین پروژه‌های فضایی شناخته می‌شود."",",science
"    ""با همکاری و مشارکت قطب کشوری نجوم پژوهش‌سراهای دانش‌آموزی، ویژه‌برنامه‌های هفته جهانی فضا برای دانش‌آموزان سراسر کشور برگزار می‌شود."",",science
"    ""چند روز پیش یکی از جاه‌طلبانه‌ترین مأموریت‌های فضایی تاریخ، یعنی پولاریس داون (Polaris Dawn)، با موفقیت انجام شد؛ در این مأموریت، فضانوردان برای اولین بار در تاریخ، یک راهپیمایی فضایی خصوصی را به ثبت رساندند."",",science
"    ""بر اساس داده‌های ماهواره‌ای، پدیده‌ای شگفت‌انگیز در زیر فلات آناتولی مرکزی ترکیه، به‌ویژه در حوضه قونیه، کشف شده است. این پدیده شامل فرونشست پوسته زمین است که شکل‌گیری این حوضه را تحت تأثیر قرار داده است."",",science
"    ""با پرتاب هزاران ماهواره کوچک، ایلان ماسک و اسپیس‌ایکس در حال ایجاد یک شبکه جهانی از اینترنت ماهواره‌ای هستند؛ پروژه استارلینک به عنوان یکی از جاه‌طلبانه‌ترین پروژه‌های فضایی شناخته می‌شود."",",science
"    ""ماهواره چمران۱ باموفقیت مانورهای پیچیده مداری خود را اجرا کرد. پس از اطمینان از صحت عملکرد زیرسامانه‌ها و الگوریتم‌های پرواز، این ماهواره توانست با دقت بالا مانور کاهش ارتفاع و تغییر فاز را به سرانجام برساند و بستر جدیدی برای تحقیقات فضایی فراهم کند."",",science
"    ""دبیرهفته جهانی فضا، اسامی انتخاب شده برای ایام هفته جهانی فضا را اعلام کرد."",",science
"    ""دانشمندان طولانی‌ترین جت‌ موادهای فضایی را که از یک سیاه‌چاله در کهکشان دوردست جریان دارد، کشف کرده‌اند. این جت‌ها که پلاسمای داغ را به بیرون پرتاب می‌کنند، بزرگ‌ترین جت‌های شناخته‌شده هستند و طول آن‌ها تقریباً به اندازه ۱۴۰برابر کهکشان راه شیری است."",",science
"    ""چین روز جمعه ۶ ماهواره جدید را از مرکز پرتاب ماهواره تایوان در استان شانشی در شمال چین به فضا فرستاد."",",science
"    ""ماهواره Copernicus Sentinel-۲C که در ۵ سپتامبر ۲۰۲۴ با موشک Vega از بندر فضایی اروپا در گویان فرانسه پرتاب شد، به تازگی نخستین تصاویر خود را ارائه کرده است."",",science
"    ""توافق نامه همکاری میان سازمان فضایی ایران و سازمان جغرافیایی نیروهای مسلح با موضوع استفاده از داده‌های ماهواره خیام برای تولید محصولات ارتوفتو و نقشه‌های پایه به‌روز شده امضا شد."",",science
